strain	MLST ST	SNPCluster	KMA	date	SampleMaterial	region	lat	long
Reference	1	NA	Skejby	2022-04	Blod	Jutland - M	56.18785212	8.8255005
SRR27240827	1	ST1#1	Skejby	2017-07	Blod	Jutland - M	56.18785212	8.8255005
SRR27240826	1	ST1#1	Skejby	2019-02	Blod	Jutland - M	56.18785212	8.8255005
SRR27240815	1	ST1#1	Skejby	2019-02	Blod	Jutland - M	56.18785212	8.8255005
SRR27240812	1	NA	Ålborg	2019-02	Blod	Jutland - N	57.26339152	9.96562254
SRR27240811	1	NA	Slagelse	2019-06	Blod	Zealand	55.43978536	11.62131942
SRR27240810	1	NA		2019-07	Blod
SRR27240809	1	ST1#1	Skejby	2019-08	Spinalvæske	Jutland - M	56.18785212	8.8255005
SRR27240808	1	ST1#1	Skejby	2020-09	Blod	Jutland - M	56.18785212	8.8255005
SRR27240807	1	NA	Vejle	2021-02	Blod	Jutland - S	55.97238879	12.27937393
SRR27240806	1	NA	Skejby	2022-04	Blod	Jutland - M	56.18785212	8.8255005
SRR27240825	1	NA	Slagelse	2022-04	Blod	Zealand	55.43978536	11.62131942
SRR27240824	1	ST1#9	Vejle	2022-06	Blod	Jutland - S	55.97238879	12.27937393
SRR27240823	1	ST1#9	Herlev	2022-06	Andet	Copenhagen	55.97238879	12.27937393
SRR27240822	1	ST1#10_2	Ålborg	2022-10	Blod	Jutland - N	57.26339152	9.96562254
SRR27240821	1	NA	Skejby	2022-11	Blod	Jutland - M	56.18785212	8.8255005
SRR27240820	1	NA	Vejle	2022-11	Blod	Jutland - S	55.97238879	12.27937393
SRR27240819	1	ST1#10_1	Skejby	2022-11	Blod	Jutland - M	56.18785212	8.8255005
SRR27240818	1	ST1#10_1	Skejby	2022-11	Blod	Jutland - M	56.18785212	8.8255005
SRR27240817	1	ST1#10_2	Skejby	2023-02	Blod	Jutland - M	56.18785212	8.8255005
SRR27240816	1	NA	Slagelse	2023-05	Blod	Zealand	55.43978536	11.62131942
SRR27240814	1	ST1#10_2	Esbjerg	2023-06		Jutland - S	55.97238879	12.27937393
SRR27240813	1	ST1#10_2	Skejby	2023-10	Blod	Jutland - M	56.18785212	8.8255005
